#,Yogasana Name,IAST Name,2001 Edition Page,Intensity,Intermediate Plate,Final Asana Plate,Note,2015 Edition Page,Formatted Description,Pranayama Description,Pranayama Cautions,Pranayama Effects,Variation
18,Padangusthasana,Pādāngụṣthāsana,89,3,43,44,,63,"18 / Padangusthasana
Pada means the foot. Angustha is the big toe. This posture is done by standing and catching the big toes. Technique: 1. Stand in Tadasana. (Image 1.) Spread the legs a foot apart. 2. Exhale, bend forward and hold the big toes between the thumbs and the first two fingers, so that the palms face each other. Hold them tight. (Image 43) 3. Keep the head up, stretch the diaphragm towards the chest and make the back as concave as possible. Instead of stretching down from the shoulders, bend forward from the pelvic region to get the concave shape of the back from the coccyx. 4. Keep the legs stiff and do not slacken the grip at the knees and toes. Stretch the shoulder-blades also. Take one or two breaths in this position. 5. Now exhale, and bring the head in between the knees by tightening the knees and pulling the toes without lifting them off the floor. (Image 44.) Remain in this pose for about 20 seconds, maintaining normal breathing. 6. Inhale, come to position 2 (Image 43), release the toes and stand up. Return to Tadasana. (Image 1)
1. Stand in Tadasana. (Image 1.) Spread the legs a foot apart. 2. Exhale, bend forward and hold the big toes between the thumbs and the first two fingers, so that the palms face each other. Hold them tight. (Image 43) 3. Keep the head up, stretch the diaphragm towards the chest and make the back as concave as possible. Instead of stretching down from the shoulders, bend forward from the pelvic region to get the concave shape of the back from the coccyx. 4. Keep the legs stiff and do not slacken the grip at the knees and toes. Stretch the shoulder-blades also. Take one or two breaths in this position. 5. Now exhale, and bring the head in between the knees by tightening the knees and pulling the toes without lifting them off the floor. (Image 44.) Remain in this pose for about 20 seconds, maintaining normal breathing. 6. Inhale, come to position 2 (Image 43), release the toes and stand up. Return to Tadasana. (Image 1)
Tones abdominal organs, makes leg muscles powerful.
",,,,
19,Padahasthasana,Pāda Hastāsana,91,6,45,46,,64,"19 / Padahasthasana
Pada means the foot. Hasta means the hand. This posture is done by bending forward and standing on one’s hands. Technique: 1. Stand in Tadasana. (Image 1.) Spread the legs a foot apart. 2. Exhale, bend forward and without bending the legs at the knees insert the hands under the feet so that the palms touch the soles. (Image 45) 3. Keep the head up and make the back as concave as possible. Do not slacken the grip at the knees and take a few breaths in this position. 4. Now exhale, and move the head in between the knees by bending the elbows and pulling the feet up from the palms. (Image 46.) Stay in the pose for about 20 seconds with normal breathing. 5. Inhale, raise the head and come back to position 2 (Image 45), with the head well up. Take two breaths. 6. Inhale, stand up and return to Tadasana. (Image 1). Effects of Padangusthasana and Padahastasana: The second asana is more strenuous than the first, but the effects of both are the same. The abdominal organs are toned and digestive juices increase, while the liver and spleen are activated. Slipped spinal discs can only be adjusted in the concave back position as in Images 43 and 45. Do not bring the head in between the knees if you have a displaced disc.
1. Stand in Tadasana. (Image 1.) Spread the legs a foot apart. 2. Exhale, bend forward and without bending the legs at the knees insert the hands under the feet so that the palms touch the soles. (Image 45) 3. Keep the head up and make the back as concave as possible. Do not slacken the grip at the knees and take a few breaths in this position. 4. Now exhale, and move the head in between the knees by bending the elbows and pulling the feet up from the palms. (Image 46.) Stay in the pose for about 20 seconds with normal breathing. 5. Inhale, raise the head and come back to position 2 (Image 45), with the head well up. Take two breaths. 6. Inhale, stand up and return to Tadasana. (Image 1). Effects of Padangusthasana and Padahastasana: The second asana is more strenuous than the first, but the effects of both are the same. The abdominal organs are toned and digestive juices increase, while the liver and spleen are activated. Slipped spinal discs can only be adjusted in the concave back position as in Images 43 and 45. Do not bring the head in between the knees if you have a displaced disc.
Increases digestive juices, activates liver and spleen.
",,,,
20,Uttanasana,Uttānāsana,92,8,47,48,,65,"20 / Uttanasana
Ut is a particle indicating deliberation, intensity. The verb tan means to stretch, extend, lengthen out. In this asana, the spine is given a deliberate and an intense stretch. Technique: 1. Stand in Tadasana (Image 1), keeping the knees tight. 2. Exhale, bend forward and place the fingers on the floor. Then place the palms on the floor by the side of the feet, behind the heels. Do not bend the legs at the knees. (Image 47) 3. Try to hold the head up and stretch the spine. Move the hips a little forward towards the head so as to bring the legs perpendicular to the floor. 4. Remain in this position and take two deep breaths. 5. Exhale, move the trunk closer to the legs and rest the head on the knees. (Image 48) 6. Do not slacken the grip at the knees, but pull the knee-caps well up. Hold this position for a minute with deep and even breathing. 7. Inhale and raise the head from the knees, but without lifting the palms from the floor. (Image 47) 8. After two breaths, take a deep inhalation, lift the hands from the floor and come back to Tadasana. (Image 1). Effects: This asana cures stomach pains and tones the liver, the spleen and the kidneys. It also relieves stomach pain during menstrual periods. The heart beats are slowed down and the spinal nerves rejuvenated. Any depression felt in the mind is removed if one holds the pose for two minutes or more. The posture is a boon to people who get excited quickly, as it soothes the brain cells.
1. Stand in Tadasana (Image 1), keeping the knees tight. 2. Exhale, bend forward and place the fingers on the floor. Then place the palms on the floor by the side of the feet, behind the heels. Do not bend the legs at the knees. (Image 47) 3. Try to hold the head up and stretch the spine. Move the hips a little forward towards the head so as to bring the legs perpendicular to the floor. 4. Remain in this position and take two deep breaths. 5. Exhale, move the trunk closer to the legs and rest the head on the knees. (Image 48) 6. Do not slacken the grip at the knees, but pull the knee-caps well up. Hold this position for a minute with deep and even breathing. 7. Inhale and raise the head from the knees, but without lifting the palms from the floor. (Image 47) 8. After two breaths, take a deep inhalation, lift the hands from the floor and come back to Tadasana. (Image 1). Effects: This asana cures stomach pains and tones the liver, the spleen and the kidneys. It also relieves stomach pain during menstrual periods. The heart beats are slowed down and the spinal nerves rejuvenated. Any depression felt in the mind is removed if one holds the pose for two minutes or more. The posture is a boon to people who get excited quickly, as it soothes the brain cells.
Cures stomach pains, relieves menstrual pain, soothes brain cells.
",,,,
21,Urhdva Prasarita Ekapadasana,Ūrdhva Prasārita Pādāsana,93,6,,49,,67,"21 / Urhdva Prasarita Ekapadasana
Urdhva means upright, above, high. Prasarita means extended, stretched out. Eka means one, pada means the foot. This posture is done by standing on one leg, bending forward and lifting the other leg high up. Technique: 1. Stand in Tadasana. (Image 1) 2. Exhale and bend the trunk forward. With the left hand catch the back of the right ankle. Rest the right hand on the floor by the side of the right foot and the head or the chin on the right knee. 3. Lift the left leg as high up in the air as possible. Tighten both knees. Keep the toes of the lifted leg pointed upwards. (Image 49) 4. Stay in the pose for about 20 seconds, with even breathing. Inhale, bring the left leg down to the ground and come back to Tadasana. (Image 1) 5. Repeat the pose on the other side. Effects: This asana tones the leg muscles and reduces fat around the hips.
1. Stand in Tadasana. (Image 1) 2. Exhale and bend the trunk forward. With the left hand catch the back of the right ankle. Rest the right hand on the floor by the side of the right foot and the head or the chin on the right knee. 3. Lift the left leg as high up in the air as possible. Tighten both knees. Keep the toes of the lifted leg pointed upwards. (Image 49) 4. Stay in the pose for about 20 seconds, with even breathing. Inhale, bring the left leg down to the ground and come back to Tadasana. (Image 1) 5. Repeat the pose on the other side. Effects: This asana tones the leg muscles and reduces fat around the hips.
Tones leg muscles, reduces hip fat.
",,,,
22,Ardha Baddha Padmottanasana,Ardha Baddha Padmottānāsana,94,9,50-51,52-55,,69,"22 / Ardha Baddha Padmottanasana
Ardha means half. Baddha means bound, restrained, caught, withheld. Padma is a lotus. Uttana is an intense stretch. Technique: 1. Stand in Tadasana. (Image 1) 2. Inhale, raise the right leg from the floor, bend the right knee and rest the sole of the right foot on the left thigh. 3. Hold the right foot with the left hand, bring the right arm around the back and catch hold of the big toe of the right foot with the thumb and the fore and middle fingers of the right hand. (Image 50) 4. Release the left hand. Exhale, bend the trunk forward, place the left hand on the floor by the left foot (Image 51), and keep the head up. Make the back as concave as possible. Take a few breaths. 5. Exhale, rest the head or the chin on the left knee. (Image 52) 6. If the whole left palm cannot be placed on the floor, start with the tips of the fingers, then gradually place the fingers and lastly the whole palm on the floor. Repeat on the other side. Effects: Stiffness of the knees is cured by this asana. As the abdominal organs are contracted, digestive powers increase and the peristaltic activity helps to eliminate toxin creating waste matter.
1. Stand in Tadasana. (Image 1) 2. Inhale, raise the right leg from the floor, bend the right knee and rest the sole of the right foot on the left thigh. 3. Hold the right foot with the left hand, bring the right arm around the back and catch hold of the big toe of the right foot with the thumb and the fore and middle fingers of the right hand. (Image 50) 4. Release the left hand. Exhale, bend the trunk forward, place the left hand on the floor by the left foot (Image 51), and keep the head up. Make the back as concave as possible. Take a few breaths. 5. Exhale, rest the head or the chin on the left knee. (Image 52) 6. If the whole left palm cannot be placed on the floor, start with the tips of the fingers, then gradually place the fingers and lastly the whole palm on the floor. Repeat on the other side. Effects: Stiffness of the knees is cured by this asana. As the abdominal organs are contracted, digestive powers increase and the peristaltic activity helps to eliminate toxin creating waste matter.
Cures knee stiffness, helps deep breathing.
",,,,
23,Garudasana,Garụdāsana,97,1,,56,,71,"23 / Garudasana
Garuda means an eagle. It is also the name of the king of birds. Garuda is represented as the vehicle of Visnu. Technique: 1. Stand in Tadasana. (Image 1.) Bend the right knee. 2. Bring the left leg over the right thigh above the right knee and rest the back of the left thigh on the front of the right thigh. 3. Then move the left foot behind the right calf so that the left shin touches the right calf and the left big toe hooks just above the inner side of the right ankle. 4. Bend the elbow and raise the arms to the level of the chest. Rest the right elbow on the front of the left upper arm near the elbow joint. Join the palms. (Image 56) 5. Remain in this position for a few seconds, say about 15 to 20 with deep breathing. Effects: This asana develops the ankles and removes stiffness in the shoulders. It is recommended for preventing cramps in the calf muscles.
1. Stand in Tadasana. (Image 1.) Bend the right knee. 2. Bring the left leg over the right thigh above the right knee and rest the back of the left thigh on the front of the right thigh. 3. Then move the left foot behind the right calf so that the left shin touches the right calf and the left big toe hooks just above the inner side of the right ankle. 4. Bend the elbow and raise the arms to the level of the chest. Rest the right elbow on the front of the left upper arm near the elbow joint. Join the palms. (Image 56) 5. Remain in this position for a few seconds, say about 15 to 20 with deep breathing. Effects: This asana develops the ankles and removes stiffness in the shoulders. It is recommended for preventing cramps in the calf muscles.
Removes shoulder stiffness, prevents leg cramps.
",,,,
24,Vatayanasana,Vātāyanāsana,98,11,57,58-59,,72,"24 / Vatayanasana
Vatayana means a horse. The pose resembles a horse’s face hence the name. Technique: 1. Sit on the floor, and place the left foot at the root of the right thigh in half Padmasana. 2. Place the hands on the floor by the side of the hips. Exhale, raise the trunk off the floor and place the top of the left knee on the floor. Place the right foot near the bent left knee and keep the right thigh parallel to the floor. (Image 57) 3. Stretch the pelvis forward, keep the left thigh perpendicular to the floor, raise the hands, straighten the back and balance the body. 4. Bend the elbows and raise the arms to the level of the chest. Entwine the forearms around one another and join the palms. Hold this position for about 30 seconds with normal breathing. (Front view: Image 58. Side view: Image 59). Effects: In this pose the hip joints receive proper circulation of the blood and minor deformity in the hips and thighs is corrected. The pose is also good for stiffness in the sacroiliac region.
1. Sit on the floor, and place the left foot at the root of the right thigh in half Padmasana. 2. Place the hands on the floor by the side of the hips. Exhale, raise the trunk off the floor and place the top of the left knee on the floor. Place the right foot near the bent left knee and keep the right thigh parallel to the floor. (Image 57) 3. Stretch the pelvis forward, keep the left thigh perpendicular to the floor, raise the hands, straighten the back and balance the body. 4. Bend the elbows and raise the arms to the level of the chest. Entwine the forearms around one another and join the palms. Hold this position for about 30 seconds with normal breathing. (Front view: Image 58. Side view: Image 59). Effects: In this pose the hip joints receive proper circulation of the blood and minor deformity in the hips and thighs is corrected. The pose is also good for stiffness in the sacroiliac region.
Improves hip circulation, corrects minor hip deformities.
",,,,
25,Salabhasana,Śalabhāsana,99,1,61,60,,73,"25 / Salabhasana
Salabha means a locust. The pose resembles that of a locust resting on the ground, hence the name. Technique: 1. Lie full length on the floor on the stomach, face downwards. Stretch the arms back. 2. Exhale, lift the head, chest and legs off the floor simultaneously as high as possible. Only the abdominal front portion of the body rests on the floor and bears the weight of the body. (Image 60) 3. Contract the buttocks and stretch the thigh muscles. Keep both legs fully extended and straight. 4. Stay in the position as long as you can with normal breathing. Effects: The pose aids digestion and relieves gastric troubles and flatulence. Since the spine is stretched back it becomes elastic and the pose relieves pain in the sacral and lumbar regions. Regular practice has benefited persons suffering from slipped discs.
1. Lie full length on the floor on the stomach, face downwards. Stretch the arms back. 2. Exhale, lift the head, chest and legs off the floor simultaneously as high as possible. Only the abdominal front portion of the body rests on the floor and bears the weight of the body. (Image 60) 3. Contract the buttocks and stretch the thigh muscles. Keep both legs fully extended and straight. 4. Stay in the position as long as you can with normal breathing. Effects: The pose aids digestion and relieves gastric troubles and flatulence. Since the spine is stretched back it becomes elastic and the pose relieves pain in the sacral and lumbar regions. Regular practice has benefited persons suffering from slipped discs.
Aids digestion, beneficial for slipped discs, tones bladder.
",,,,
26,Makarasana,Makarāsana,100,1,61,62,,74,"26 / Makarasana
Verse 40 of the second chapter of the Gheranda Samhita describes Makarasana: ‘Lie on the ground face down, the chest touching the earth and both legs stretched out: catch the head with the arms. This is the Crocodile Posture which increases bodily heat.’ It is a variation of Salabhasana.
No technique steps provided.
Increases bodily heat.
",,,,
27,Dhanurasana,Dhanurāsana,101,4,,63,,75,"27 / Dhanurasana
Technique
Lie full length on the floor on the stomach, face downwards.

Exhale and bend the knees. Stretch the arms back and hold the left ankle with the left hand and the right ankle with the right hand. Take two breaths.

Now exhale completely and pull the legs up by raising the knees above the floor, and simultaneously lift the chest off the floor. The arms and hands act like a bow-string to tauten the body like a bent bow. (Image 63)

Lift up the head and pull it as far back as possible. Do not rest either the ribs or the pelvic bones on the floor. Only the abdomen bears the weight of the body on the floor.

In this posture the spine is stretched back. Elderly people do not normally do this, so their spines get rigid. This asana brings back elasticity to the spine and tones the abdominal organs. In my experience, persons suffering from slipped discs have obtained relief by the regular practice of Dhanurasana and Salabhasana (Image 60) without being forced to rest or to undergo surgical treatment.
Stretches the spine backward, restores spinal elasticity (preventing rigidity in elderly), tones abdominal organs, provides non-surgical relief for slipped discs.
",,,,
28,Parsva Dhanurasana,Pārśva Dhanurāsana,102,4,,64-65,,76,"28 / Parsva Dhanurasana
Parsva means sideways. In this variation of Dhanurasana, one performs the posture lying on one’s side. Technique: 1. Perform Dhanurasana. (Image 63) 2. Exhale, roll over to the right side and stretch the legs and chest. (Image 64) 3. Inhale and come to position 1. Then exhale, and roll over to the left side. (Image 65) 4. Stay on either side for the same length of time. Effects: The sideways roll in this posture massages the abdominal organs by pressing them against the floor.
1. Perform Dhanurasana. (Image 63) 2. Exhale, roll over to the right side and stretch the legs and chest. (Image 64) 3. Inhale and come to position 1. Then exhale, and roll over to the left side. (Image 65) 4. Stay on either side for the same length of time. Effects: The sideways roll in this posture massages the abdominal organs by pressing them against the floor.
Massages abdominal organs by pressing them against floor.
",,,,
29,Chaturanga Dandasana,Chaturanga Dạṇdāsana,104,1,66,67,,77,"29 / Chaturanga Dandasana
Chatur means four. Anga means a limb or a part thereof. Danda means a staff. Lie flat on the floor, face down and take the weight of the body on the palms and toes, exhale and keep the body parallel to the floor, stiff as a staff. Technique: 1. Lie flat on the floor, face downwards. 2. Bend the elbows and place the palms by the side of the chest. Keep the feet about a foot apart. 3. With an exhalation, raise the whole body a few inches above the floor, balancing it on the hands and the toes. (Image 66.) 4. Then gradually extend the whole body forward so that the feet rest on the upper portion of the toes on the floor. (Image 67) 5. Stay in the pose for about 30 seconds with normal or deep breathing. Effects: The pose strengthens the arms and the wrists develop mobility and power. It also contracts and tones the abdominal organs.
1. Lie flat on the floor, face downwards. 2. Bend the elbows and place the palms by the side of the chest. Keep the feet about a foot apart. 3. With an exhalation, raise the whole body a few inches above the floor, balancing it on the hands and the toes. (Image 66.) 4. Then gradually extend the whole body forward so that the feet rest on the upper portion of the toes on the floor. (Image 67) 5. Stay in the pose for about 30 seconds with normal or deep breathing. Effects: The pose strengthens the arms and the wrists develop mobility and power. It also contracts and tones the abdominal organs.
Strengthens arms and wrists, tones abdominal organs.
",,,,
30,Nakrasana,Nakrāsana,105,6,,68-71,,78,"30 / Nakrasana
Nakra means a crocodile. This posture consists of several dynamic movements resembling those of a crocodile stalking its prey. Technique: 1. Lie flat on the floor, face downwards. 2. Bend the elbows and place the palms by the side of the waist. 3. Exhale, raise the whole body a few inches above the floor. 4. Take a few breaths and with an exhalation lunge the whole body a foot forward, lifting the hands and feet simultaneously off the floor. (Images 69, 70 and 71.) 5. Repeat the forward lunges four or five times. 6. Now reverse the movements and jump back. Effects: This asana develops powerful wrists, throws off lethargy of the body and fatigue of the brain, rejuvenates the entire body.
1. Lie flat on the floor, face downwards. 2. Bend the elbows and place the palms by the side of the waist. 3. Exhale, raise the whole body a few inches above the floor. 4. Take a few breaths and with an exhalation lunge the whole body a foot forward, lifting the hands and feet simultaneously off the floor. (Images 69, 70 and 71.) 5. Repeat the forward lunges four or five times. 6. Now reverse the movements and jump back. Effects: This asana develops powerful wrists, throws off lethargy of the body and fatigue of the brain, rejuvenates the entire body.
Develops wrists, removes lethargy and brain fatigue.
",,,,
31,Bhujangasana I,Bhujaṅgasana I,107,1,72,73,,79,"31 / Bhujangasana I
Bhujanga means a serpent. In this posture, lift the body up from the trunk and throw the head back like a serpent about to strike. Technique: 1. Lie on the floor face downwards. Extend the legs, keeping the feet together. 2. Rest the palms by the side of the pelvic region. 3. Inhale, press the palms firmly on the floor and pull the trunk up. (Image 72.) 4. Inhale, lift the body up from the trunk until the pubis is in contact with the floor. (Image 73) 5. Contract the anus and the buttocks, tighten the thighs. 6. Maintain the pose for about 20 seconds. Effects: The posture is a panacea for an injured spine and in cases of slight displacement of spinal discs the practice of this pose replaces the discs in their original position. The spinal region is toned and the chest fully expanded.
1. Lie on the floor face downwards. Extend the legs, keeping the feet together. 2. Rest the palms by the side of the pelvic region. 3. Inhale, press the palms firmly on the floor and pull the trunk up. (Image 72.) 4. Inhale, lift the body up from the trunk until the pubis is in contact with the floor. (Image 73) 5. Contract the anus and the buttocks, tighten the thighs. 6. Maintain the pose for about 20 seconds. Effects: The posture is a panacea for an injured spine and in cases of slight displacement of spinal discs the practice of this pose replaces the discs in their original position. The spinal region is toned and the chest fully expanded.
Tones spine, replaces displaced discs, expands chest.
",,,,
32,Urdhva Mukha Svanasana,Ūrdhva Mukha Śvānāsana,108,1,,74,,81,"32 / Urdhva Mukha Svanasana
Urdhva Mukha means having the mouth upwards. Svana means a dog. Technique: 1. Lie on the floor on the stomach, face downwards. 2. Place the palms on the floor by the side of the waist. 3. Inhale, raise the head and trunk, stretch the arms completely and push the head and trunk as far back as possible, without resting the knees on the floor. 4. The weight of the body rests on the palms and toes only. (Image 74) 5. Stay in the pose from half a minute to a minute with deep breathing. Effects: The pose rejuvenates the spine and is specially recommended for people suffering from a stiff back. The movement is good for lumbago, sciatica and those suffering from slipped or prolapsed discs. The chest expansion makes the lungs gain elasticity.
1. Lie on the floor on the stomach, face downwards. 2. Place the palms on the floor by the side of the waist. 3. Inhale, raise the head and trunk, stretch the arms completely and push the head and trunk as far back as possible, without resting the knees on the floor. 4. The weight of the body rests on the palms and toes only. (Image 74) 5. Stay in the pose from half a minute to a minute with deep breathing. Effects: The pose rejuvenates the spine and is specially recommended for people suffering from a stiff back. The movement is good for lumbago, sciatica and those suffering from slipped or prolapsed discs. The chest expansion makes the lungs gain elasticity.
Cures backaches, sciatic pain, and expands lungs.
",,,,
33,Adho Mukha Svanasana,Adho Mukha Śvānāsana,110,5,,75-76,,82,"33 / Adho Mukha Svanasana
Adho Mukha means having the face downwards. Svana means a dog. Technique: 1. Lie full length on the floor on the stomach, face downwards. 2. Rest the palms by the side of the chest. 3. Exhale and raise the trunk from the floor. Straighten the arms, move the head inwards towards the feet and place the crown of the head on the floor. (Image 75) 4. Keep the legs stiff and do not bend the knees but press the heels down. (Image 76) 5. Stay in the pose for about a minute with deep breathing. Effects: When one is exhausted, a longer stay in this pose removes fatigue and brings back the lost energy. The pose relieves pain and stiffness in the heels and helps to soften calcaneal spurs. It strengthens the ankles and makes the legs shapely. The abdominal muscles are drawn towards the spine and strengthened. Persons suffering from high blood pressure can do this pose.
1. Lie full length on the floor on the stomach, face downwards. 2. Rest the palms by the side of the chest. 3. Exhale and raise the trunk from the floor. Straighten the arms, move the head inwards towards the feet and place the crown of the head on the floor. (Image 75) 4. Keep the legs stiff and do not bend the knees but press the heels down. (Image 76) 5. Stay in the pose for about a minute with deep breathing. Effects: When one is exhausted, a longer stay in this pose removes fatigue and brings back the lost energy. The pose relieves pain and stiffness in the heels and helps to soften calcaneal spurs. It strengthens the ankles and makes the legs shapely. The abdominal muscles are drawn towards the spine and strengthened. Persons suffering from high blood pressure can do this pose.
Removes fatigue, strengthens ankles, soothes brain cells.
",,,,
